SKU,OfferTermCode,RateCode,TermType,PriceDescription,EffectiveDate,StartingRange,EndingRange,Unit,PricePerUnit,Currency,LeaseContractLength,PurchaseOption,OfferingClass,Product Family,serviceCode,Location,Location Type,Instance Type,Current Generation,Instance Family,vCPU,Physical Processor,Clock Speed,Memory,Storage,Network Performance,Processor Architecture,Storage Media,Volume Type,Max Volume Size,Max IOPS/volume,Max IOPS Burst Performance,Max throughput/volume,Provisioned,Tenancy,EBS Optimized,Operating System,License Model,Group,Group Description,Transfer Type,From Location,From Location Type,To Location,To Location Type,usageType,operation,CapacityStatus,Dedicated EBS Throughput,ECU,Elastic GPU Type,Enhanced Networking Supported,GPU,GPU Memory,Instance,Instance Capacity - 10xlarge,Instance Capacity - 2xlarge,Instance Capacity - 32xlarge,Instance Capacity - 4xlarge,Instance Capacity - 8xlarge,Instance Capacity - 9xlarge,Instance Capacity - large,Instance Capacity - medium,Instance Capacity - xlarge,Intel AVX Available,Intel AVX2 Available,Intel Turbo Available,Normalization Size Factor,Physical Cores,Pre Installed S/W,Processor Features,serviceName
BZBTYKT6J87853AW,JRTCKXETXF,BZBTYKT6J87853AW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.203 per Dedicated RHEL c1.medium Instance Hour,01/08/2018,0,Inf,Hrs,0.203,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c1.medium,No,Compute optimized,2,Intel Xeon Family,,1.7 GiB,1 x 350,Moderate,32-bit or 64-bit,,,,,,,,Dedicated,,RHEL,No License required,,,,,,,,DedicatedUsage:c1.medium,RunInstances:0010,Used,,5,,,,,,,,,,,,,,,,,,2,,NA,,Amazon Elastic Compute Cloud
ZC3Y45SUG7K4RB8W,JRTCKXETXF,ZC3Y45SUG7K4RB8W.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.231 per Dedicated Windows c1.medium Instance Hour,01/08/2018,0,Inf,Hrs,0.231,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c1.medium,No,Compute optimized,2,Intel Xeon Family,,1.7 GiB,1 x 350,Moderate,32-bit or 64-bit,,,,,,,,Dedicated,,Windows,No License required,,,,,,,,DedicatedUsage:c1.medium,RunInstances:0002,Used,,5,,,,,,,,,,,,,,,,,,2,,NA,,Amazon Elastic Compute Cloud
MUSDPAYU48C7WCHN,JRTCKXETXF,MUSDPAYU48C7WCHN.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.143 per Dedicated Linux c1.medium Instance Hour,01/08/2018,0,Inf,Hrs,0.143,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c1.medium,No,Compute optimized,2,Intel Xeon Family,,1.7 GiB,1 x 350,Moderate,32-bit or 64-bit,,,,,,,,Dedicated,,Linux,No License required,,,,,,,,DedicatedUsage:c1.medium,RunInstances,Used,,5,,,,,,,,,,,,,,,,,,2,,NA,,Amazon Elastic Compute Cloud
P6GWCP7NZJR2VSTT,JRTCKXETXF,P6GWCP7NZJR2VSTT.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.243 per Dedicated SUSE c1.medium Instance Hour,01/08/2018,0,Inf,Hrs,0.243,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c1.medium,No,Compute optimized,2,Intel Xeon Family,,1.7 GiB,1 x 350,Moderate,32-bit or 64-bit,,,,,,,,Dedicated,,SUSE,No License required,,,,,,,,DedicatedUsage:c1.medium,RunInstances:000g,Used,,5,,,,,,,,,,,,,,,,,,2,,NA,,Amazon Elastic Compute Cloud
EP2SBMU2Z582EJNK,JRTCKXETXF,EP2SBMU2Z582EJNK.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.924 per Dedicated Windows c1.xlarge Instance Hour,01/08/2018,0,Inf,Hrs,0.924,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c1.xlarge,No,Compute optimized,8,Intel Xeon Family,,7 GiB,4 x 420,High,64-bit,,,,,,,,Dedicated,,Windows,No License required,,,,,,,,DedicatedUsage:c1.xlarge,RunInstances:0002,Used,,20,,,,,,,,,,,,,,,,,,8,,NA,,Amazon Elastic Compute Cloud
3GCSD3HHQWFGV39C,JRTCKXETXF,3GCSD3HHQWFGV39C.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.702 per Dedicated RHEL c1.xlarge Instance Hour,01/08/2018,0,Inf,Hrs,0.702,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c1.xlarge,No,Compute optimized,8,Intel Xeon Family,,7 GiB,4 x 420,High,64-bit,,,,,,,,Dedicated,,RHEL,No License required,,,,,,,,DedicatedUsage:c1.xlarge,RunInstances:0010,Used,,20,,,,,,,,,,,,,,,,,,8,,NA,,Amazon Elastic Compute Cloud
QWBZPDE9BGTPCYWW,JRTCKXETXF,QWBZPDE9BGTPCYWW.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.572 per Dedicated Linux c1.xlarge Instance Hour,01/08/2018,0,Inf,Hrs,0.572,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c1.xlarge,No,Compute optimized,8,Intel Xeon Family,,7 GiB,4 x 420,High,64-bit,,,,,,,,Dedicated,,Linux,No License required,,,,,,,,DedicatedUsage:c1.xlarge,RunInstances,Used,,20,,,,,,,,,,,,,,,,,,8,,NA,,Amazon Elastic Compute Cloud
VWMNXYV7FJNWU55C,JRTCKXETXF,VWMNXYV7FJNWU55C.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.672 per Dedicated SUSE c1.xlarge Instance Hour,01/08/2018,0,Inf,Hrs,0.672,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c1.xlarge,No,Compute optimized,8,Intel Xeon Family,,7 GiB,4 x 420,High,64-bit,,,,,,,,Dedicated,,SUSE,No License required,,,,,,,,DedicatedUsage:c1.xlarge,RunInstances:000g,Used,,20,,,,,,,,,,,,,,,,,,8,,NA,,Amazon Elastic Compute Cloud
XTPNAJDDCCQR3XRZ,JRTCKXETXF,XTPNAJDDCCQR3XRZ.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.592 per Dedicated RHEL c3.2xlarge Instance Hour,01/08/2018,0,Inf,Hrs,0.592,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c3.2xlarge,No,Compute optimized,8,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8 GHz,15 GiB,2 x 80 SSD,High,64-bit,,,,,,,,Dedicated,,RHEL,No License required,,,,,,,,DedicatedUsage:c3.2xlarge,RunInstances:0010,Used,,28,,Yes,,,,,,,,,,,,,,,,16,,NA,Intel AVX; Intel Turbo,Amazon Elastic Compute Cloud
NBP9U2SVG37VG5S9,JRTCKXETXF,NBP9U2SVG37VG5S9.JRTCKXETXF.6YS6EN2CT7,OnDemand,$0.462 per Dedicated Linux c3.2xlarge Instance Hour,01/08/2018,0,Inf,Hrs,0.462,USD,,,,Compute Instance,AmazonEC2,US East (N. Virginia),AWS Region,c3.2xlarge,No,Compute optimized,8,Intel Xeon E5-2680 v2 (Ivy Bridge),2.8 GHz,15 GiB,2 x 80 SSD,High,64-bit,,,,,,,,Dedicated,,Linux,No License required,,,,,,,,DedicatedUsage:c3.2xlarge,RunInstances,Used,,28,,Yes,,,,,,,,,,,,,,,,16,,NA,Intel AVX; Intel Turbo,Amazon Elastic Compute Cloud
